name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V16,5665.0,0.51,0.0018,1.0,5.0,3.1372,3.0,1.114,0.4033,-0.956,1.0,2.0,0.0619,0.0619,0.044,0.044,0.0585,0.0585,1.4004,1.2821,DecisionTree,0.4732044449999568,0.4718242197208763,0.47872839918284,0.4684023410002095,0.470591669115108,0.456694192731899,0.4531066207289609,0.4526188056551867,0.4713180177118684,0.1687420773094553,0.1637495599263042,0.1656226282276567,0.1656226282276567,0.1657258722408873,0.1630597278512493,0.1627553796886459,0.1697386462106346,0.1639492229098029
BachChoralHarmony,V16,5665.0,0.51,0.0018,1.0,5.0,3.1372,3.0,1.114,0.4033,-0.956,1.0,2.0,0.0619,0.0619,0.044,0.044,0.0585,0.0585,1.4004,1.2821,LogisticRegression,0.5119245994939849,0.5114892547815388,0.5112820978095528,0.5107997599921127,0.513016104391404,0.5118483364450532,0.5117412262981749,0.5123144751106998,0.5114892547815388,0.1759350115544009,0.1413118613128224,0.1693919861897832,0.1696139235597814,0.1696805392671793,0.1684003892185832,0.1719570634240065,0.1634898262345162,0.1679193393062001
BachChoralHarmony,V16,5665.0,0.51,0.0018,1.0,5.0,3.1372,3.0,1.114,0.4033,-0.956,1.0,2.0,0.0619,0.0619,0.044,0.044,0.0585,0.0585,1.4004,1.2821,KNN,0.4650192214820945,0.4704386258257922,0.4672820696026227,0.4667037718174799,0.4667447816380636,0.4674556298197582,0.4659047358300299,0.4717766531537808,0.4704511503550014,0.1628255392446966,0.163563976605056,0.165685391399476,0.1599046617022624,0.1703110664717942,0.1554667455049505,0.1651511370579981,0.1679940361363696,0.1605815498768925
BachChoralHarmony,V16,5665.0,0.51,0.0018,1.0,5.0,3.1372,3.0,1.114,0.4033,-0.956,1.0,2.0,0.0619,0.0619,0.044,0.044,0.0585,0.0585,1.4004,1.2821,RandomForest,0.4968614268421351,0.4998058456444105,0.5040459178666329,0.4961239922133451,0.4996164111791622,0.4970268952485716,0.4995336695148756,0.5032456461391166,0.5030942465423428,0.1772835340363354,0.1756706469594349,0.1729556733980733,0.173727819626256,0.1730584735378744,0.1735898665972387,0.1756553479993123,0.1831317807835244,0.1737831916047928
BachChoralHarmony,V16,5665.0,0.51,0.0018,1.0,5.0,3.1372,3.0,1.114,0.4033,-0.956,1.0,2.0,0.0619,0.0619,0.044,0.044,0.0585,0.0585,1.4004,1.2821,AdaBoost,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0797165915264022,0.0797165915264022,0.101172123681018,0.101172123681018,0.101172123681018,0.101172123681018,0.1162142054508561,0.0797165915264022,0.1139414840066788
BachChoralHarmony,V16,5665.0,0.5008,0.0018,1.0,5.0,3.1259,3.0,1.1104,0.381,-0.9077,1.0,2.0,0.0616,0.0616,0.0411,0.0411,0.0545,0.0545,1.4125,0.9652,SVC,0.5074210603021821,0.5076763980743132,0.5066425926833338,0.5025835883580617,0.5056434642729988,0.5057072610499461,0.5051332469680753,0.5077135602462525,0.5076763980743132,0.1653506192434414,0.1517000006562425,0.1598885470236049,0.159563554381392,0.1591400880763575,0.1597579991785976,0.1616782778565128,0.1686159365032776,0.1589407763192667
BachChoralHarmony,V16,5665.0,0.4402,0.0016,1.0,5.0,3.128,3.0,1.1161,0.3997,-0.942,1.0,2.0,0.095,0.095,0.0674,0.0674,0.0899,0.0899,1.4056,0.8889,DecisionTree,0.4677506490706685,0.4633069029408281,0.4736377653776255,0.4680957505231898,0.4552208544648706,0.4556407461493695,0.4569309066574039,0.4540990500066098,0.4609567484591175,0.183676356364055,0.1852990481710183,0.1734050703244168,0.1734050703244168,0.1734050703244168,0.1734050703244168,0.1753426319860181,0.1787344766527633,0.1734050703244168
BachChoralHarmony,V16,5665.0,0.4402,0.0016,1.0,5.0,3.128,3.0,1.1161,0.3997,-0.942,1.0,2.0,0.095,0.095,0.0674,0.0674,0.0899,0.0899,1.4056,0.8889,LogisticRegression,0.5098900195354958,0.5132991310788284,0.513596136616069,0.5121475223892356,0.5098324496684791,0.512304168497013,0.5109562734327345,0.5112297054424022,0.5132991310788284,0.1782181729313849,0.1628853921583219,0.18135641609451,0.1822326029020567,0.1818538975153673,0.1819930778495408,0.1850340902816073,0.1809122291467904,0.1816162893480679
BachChoralHarmony,V16,5665.0,0.4402,0.0016,1.0,5.0,3.128,3.0,1.1161,0.3997,-0.942,1.0,2.0,0.095,0.095,0.0674,0.0674,0.0899,0.0899,1.4056,0.8889,KNN,0.4613578419496345,0.4623469440725127,0.4639021036677827,0.4653044963993085,0.4667651986730499,0.4641236240155966,0.4640927376947122,0.463557983881378,0.4622519239808524,0.1668124664026236,0.1603213308538262,0.1587188432327076,0.1657674740223241,0.1613309950449895,0.1623671596089091,0.1805195394543656,0.1730777553423362,0.1600501380929359
BachChoralHarmony,V16,5665.0,0.4402,0.0016,1.0,5.0,3.128,3.0,1.1161,0.3997,-0.942,1.0,2.0,0.095,0.095,0.0674,0.0674,0.0899,0.0899,1.4056,0.8889,RandomForest,0.5006216827336124,0.4986181020769549,0.499651527951254,0.4984113872634875,0.5021136954822828,0.499113035640263,0.5026718128376644,0.4984729963156267,0.4960593447467069,0.1866254564516044,0.1760825137036427,0.1867348625344817,0.1863013899349283,0.1864893408018223,0.1858749746533221,0.1904957202228025,0.1834348838491862,0.1867274541432778
