name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665.0,0.4929,0.0365,4.5652,0.0209,0.9814,4.0318,0.0059,8.0,0.0,,,8.0,8.0,DecisionTree,0.3491541382848889,0.3429200172493944,0.3408812172449078,0.3286722748548519,0.3261064078993401,0.3396354889014272,0.3187004410390305,0.3435137795473251,0.432268313375012,0.4292050330095436,0.425737649678813,0.4285059207726678
BachChoralHarmony,V1,5665.0,0.4929,0.0365,4.5652,0.0209,0.9814,4.0318,0.0059,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4273732873777277,0.4282424099236654,0.391794228998011,0.408432103307674,0.4095409148700578,0.4178285778971488,0.3937729059777995,0.4282424099236654,0.501287167522418,0.4990025627139173,0.4960381595002116,0.4967962451779288
BachChoralHarmony,V1,5665.0,0.4929,0.0365,4.5652,0.0209,0.9814,4.0318,0.0059,8.0,0.0,,,8.0,8.0,KNN,0.3642064608809736,0.3662672292578773,0.3244820601752601,0.3499166667190134,0.3473435453894593,0.360397405789165,0.3392374976881628,0.3662672292578773,0.4602545467437925,0.4621173780570814,0.4587850811614747,0.4561792856330233
BachChoralHarmony,V1,5665.0,0.4929,0.0365,4.5652,0.0209,0.9814,4.0318,0.0059,8.0,0.0,,,8.0,8.0,RandomForest,0.401772025395187,0.402560411558008,0.3822757471418163,0.360970074060897,0.360071869026676,0.381844953080376,0.3563493963322489,0.4035301375383515,0.4676235117206857,0.470951651950354,0.459783829152129,0.4685047066645553
BachChoralHarmony,V1,5665.0,0.4929,0.0365,4.5652,0.0209,0.9814,4.0318,0.0059,8.0,0.0,,,8.0,8.0,AdaBoost,0.0645737182714168,0.0645737182714168,0.0627925394252876,0.0598953787623954,0.0598953787623954,0.0603310164475622,0.0627925394252876,0.0645737182714168,0.0619545582019639,0.0619545582019639,0.0619545582019639,0.0619545582019639
BachChoralHarmony,V1,5665.0,0.4978,0.033,4.4762,0.0211,0.9816,4.0359,0.0003,8.0,0.0,,,8.0,8.0,SVC,0.4125491049348646,0.4143463211957236,0.3794136485323381,0.397312574330157,0.3944563567283692,0.4146380113228425,0.3916742346401354,0.4143463211957236,0.4985803787292697,0.4968250242847728,0.4942099832903254,0.4966986409542984
BachChoralHarmony,V1,5665.0,0.4517,0.0354,4.4,0.0193,0.9816,4.037,0.0061,8.0,0.0,,,8.0,8.0,DecisionTree,0.3531911180741203,0.3535186081300847,0.3434516760679937,0.3301386967579742,0.3240150385430694,0.3448086945845376,0.321649718211515,0.3555910214346782,0.4343312863798999,0.4343411523081708,0.4272200374972269,0.4317584503760026
BachChoralHarmony,V1,5665.0,0.4517,0.0354,4.4,0.0193,0.9816,4.037,0.0061,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4438039400344716,0.4425717586892694,0.3938526096183524,0.4205474298259553,0.4176829905458462,0.4289219269737397,0.4139573617439494,0.4425717586892694,0.4995471116905992,0.5026350982848826,0.4977665074932604,0.5007425624020377
BachChoralHarmony,V1,5665.0,0.4517,0.0354,4.4,0.0193,0.9816,4.037,0.0061,8.0,0.0,,,8.0,8.0,KNN,0.381714552776888,0.3815799825009519,0.3248868824897354,0.361793358984408,0.3579773789349993,0.3747690428675675,0.3544319487538404,0.3815799825009519,0.4591571460238832,0.4610279908526301,0.4566471580757243,0.4589017759630829
BachChoralHarmony,V1,5665.0,0.4517,0.0354,4.4,0.0193,0.9816,4.037,0.0061,8.0,0.0,,,8.0,8.0,RandomForest,0.4140475452118702,0.414923881980314,0.3815669023309318,0.3736069047962301,0.3699242190737694,0.3994993738804711,0.3585473116208709,0.4123621780864601,0.4699272456354706,0.4767470990013461,0.4657928007753155,0.4701417005763206
