name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,DecisionTree,0.3046304306291181,0.3401540533039572,0.3334724832172704,0.3441233907818246
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4031272566652479,0.4215470299862589,0.3949507308407965,0.4094545172570362
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,KNN,0.3481206670035456,0.3608034526678125,0.3310555638062464,0.3619470088299146
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,RandomForest,0.3507959538467015,0.3800973110282095,0.3730412712450731,0.3828558248131759
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,AdaBoost,0.0627925394252876,0.0603672371280513,0.0627925394252876,0.0603672371280513
BachChoralHarmony,V1,5665.0,0.4987,0.0384,6.8125,0.0211,0.9814,4.0303,0.0063,8.0,0.0,,,8.0,8.0,SVC,0.3883548806685938,0.4150352225672065,0.3834432671753954,0.4066569001691875
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,DecisionTree,0.3316777360874966,0.3500325991521266,0.3505194886289204,0.348993340853177
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4149130708654559,0.4282192662103307,0.4166080149407064,0.4281062782193021
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,KNN,0.3586355982740986,0.3662542044130435,0.3562886586147947,0.367224845831215
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,RandomForest,0.3723399923411276,0.3879884642277224,0.3906780929920929,0.3935240808215304
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,AdaBoost,0.0627925394252876,0.0697582066707808,0.0627925394252876,0.068104682072097
BachChoralHarmony,V1,5665.0,0.4526,0.0358,5.2857,0.0193,0.9814,4.0299,0.0029,8.0,0.0,,,8.0,8.0,SVC,0.4064175974618988,0.4196245193509598,0.4063845754672559,0.4207066731191994
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,DecisionTree,0.3429610243143552,0.3718883852289938,0.3566682597758204,0.3573758200954676
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4254768045775676,0.4423698130682579,0.4193727390182322,0.4410077565425625
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,KNN,0.3719059706477675,0.3906293359535638,0.3630679561721802,0.3817487899177753
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,RandomForest,0.378877220847195,0.4108011595047909,0.3909097357710357,0.4024428260733756
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,AdaBoost,0.0627925394252876,0.0572446641533903,0.0627925394252876,0.0598937664367987
BachChoralHarmony,V1,5665.0,0.4048,0.0359,4.84,0.0178,0.9816,4.0373,0.0012,8.0,0.0,,,8.0,8.0,SVC,0.4119832973980004,0.4349372702142806,0.4029484146274686,0.4323317956154388
