name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,DecisionTree,0.4406626745444292,0.4300899068358583,0.4342431679768433,0.4295867356561561,0.4326161060086001,0.4351842694452558,0.4361805753185823,0.43121481206819,0.4334153991394466
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,LogisticRegression,0.5092396476757847,0.5059084765536646,0.50876650156068,0.5095966897002059,0.5099865328229105,0.5104791036615126,0.5088126935570453,0.5054486804895417,0.5098887532194094
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,KNN,0.4643362260395558,0.4600815811340307,0.4606624640131559,0.4646422670224867,0.4633916336642711,0.4644565805119336,0.4623612730965105,0.4589202533288605,0.4625197600208305
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,RandomForest,0.4755258089300029,0.4703080854136038,0.472481897411995,0.4765610768783801,0.4743424872364343,0.476068325934657,0.4719381242103481,0.469833413930679,0.4763172277693948
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,AdaBoost,0.0598667636023817,0.0576375187515856,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.4962,0.0627,1.0,207.0,52.4513,47.0,36.5738,0.9287,0.8643,25.0,49.0,0.0669,0.0669,0.0448,0.0448,0.0595,0.0595,4.8413,0.0029,SVC,0.5054164411754817,0.500435668075976,0.5068527986623221,0.5079924075584298,0.5070178096497785,0.5081967454920289,0.5067253334232936,0.5020713141669003,0.507827300728306
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,DecisionTree,0.4390628459220832,0.4374626381410635,0.4406908437577624,0.437046758362103,0.441599879176008,0.4437391423642575,0.4370585452921451,0.4279666500265093,0.4382066588280346
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,LogisticRegression,0.5104552118858946,0.5072054423165953,0.5107866455679699,0.5096940842034471,0.5105484076235512,0.5110593211838672,0.5104135290784113,0.5081927393902513,0.5100667081974104
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,KNN,0.4622941395966543,0.4590589842955656,0.4623993100785942,0.4612693489803302,0.4634672080678444,0.4599604048645376,0.4623604551284512,0.4605566760715822,0.4623882949360803
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,RandomForest,0.4729763417040167,0.4746724838113824,0.478493097723796,0.4746404991712781,0.4747563958607925,0.4727847204268096,0.4752501961175203,0.471077318744688,0.4749771757952521
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,AdaBoost,0.0598667636023817,0.0576825830314011,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.453,0.0616,1.0,207.0,52.4966,48.0,36.882,0.9973,1.1065,25.0,49.0,0.083,0.083,0.0528,0.0528,0.0704,0.0704,4.8496,0.0026,SVC,0.5078063371604223,0.5008455790903927,0.5066242888524656,0.5067065990397194,0.5061145693485867,0.5053640245087222,0.5059293126002009,0.5006128630320742,0.5055923371890009
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,DecisionTree,0.4413076835026666,0.436433718300246,0.4416637487581767,0.444103828716356,0.4397945539296095,0.4452209737942195,0.4387095294853184,0.4404355197987465,0.4464989973645508
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,LogisticRegression,0.5096347154749737,0.5117645430702878,0.5093390636392877,0.5104729969418494,0.5116904231184924,0.5110422366903895,0.5095992552415454,0.5101944851019872,0.5101138681973394
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,KNN,0.4646059950206955,0.4612947609500856,0.4645004236932662,0.4640823370724344,0.4629418076785233,0.464248319320509,0.4682774444288464,0.4634052577773498,0.4635781687899709
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,RandomForest,0.4753457564716331,0.4756518726261707,0.4772829580447798,0.4758183782523574,0.4779747213674937,0.4773545494575442,0.4742580144226194,0.4748748201701116,0.4761862034045571
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,AdaBoost,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.4053,0.0579,1.0,207.0,53.7709,48.0,37.5963,0.9258,0.855,26.0,52.0,0.0744,0.0744,0.0504,0.0504,0.0672,0.0672,4.8774,0.0025,SVC,0.511262795656835,0.5061037335482654,0.5073636787747128,0.5080502629388612,0.5083078589097774,0.5083096403075351,0.5111125652968733,0.5051050502511003,0.508030652156134
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,DecisionTree,0.4482446147267214,0.4388236361916904,0.4386409629242344,0.4446937356743803,0.4441450512878742,0.4452476782840923,0.4401100985743069,0.4334719915459298,0.4495328570438149
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,LogisticRegression,0.5098300779421905,0.506676427766207,0.5084256817733996,0.5109133761950162,0.5112726309068383,0.5108187267565503,0.5114902483143007,0.5066060794933964,0.5108150032472325
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,KNN,0.4653997034099081,0.4655488453584792,0.4631340633890743,0.4678345715943608,0.4691167378987816,0.46762514849187,0.468360147553758,0.4675751388764971,0.4663980087449309
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,RandomForest,0.4793185502726618,0.4769947384795607,0.4809105213199229,0.4819054092936246,0.4795537246722868,0.4830572089203174,0.4743498292615953,0.4780696196181095,0.4772778763482671
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,AdaBoost,0.0598667636023817,0.05753741031915,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.3587,0.052,1.0,207.0,53.1902,48.0,36.8152,0.9004,0.7664,25.0,50.0,0.0789,0.0789,0.0534,0.0534,0.071,0.071,4.8643,0.0027,SVC,0.5105843872681147,0.50627432024029,0.5075691624657537,0.5078480116317589,0.5086474610619179,0.5081519319646955,0.5090718263460241,0.5062774239769715,0.5085971395823315
BachChoralHarmony,V2,5665.0,0.2999,0.0514,1.0,207.0,53.6646,48.0,37.5765,0.9698,1.0104,25.0,51.0,0.0748,0.0748,0.0555,0.0555,0.0738,0.0738,4.8814,0.0023,DecisionTree,0.4471825899051536,0.4370028161695672,0.4438606616143309,0.4382732711615787,0.4428786872289663,0.4411292843193386,0.4395015439140801,0.4375024200032338,0.4406183403782289
BachChoralHarmony,V2,5665.0,0.2999,0.0514,1.0,207.0,53.6646,48.0,37.5765,0.9698,1.0104,25.0,51.0,0.0748,0.0748,0.0555,0.0555,0.0738,0.0738,4.8814,0.0023,LogisticRegression,0.5084119002597535,0.5063390329942269,0.510538757118119,0.5092910564766603,0.5096572232135554,0.5104434942192947,0.5105158854068683,0.5064030835096107,0.510091286834977
BachChoralHarmony,V2,5665.0,0.2999,0.0514,1.0,207.0,53.6646,48.0,37.5765,0.9698,1.0104,25.0,51.0,0.0748,0.0748,0.0555,0.0555,0.0738,0.0738,4.8814,0.0023,KNN,0.4671335577880243,0.4634777733533272,0.4681136198467057,0.4680507805594346,0.467742679930491,0.4661712329160157,0.4668929603812911,0.4619660324182397,0.4662158395498101
