name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,DecisionTree,0.4374016808682239,0.4474685192106526,0.4469641869875858,0.4371218805578475,0.4372507122402808,0.4411738625731373,0.4355509175407132,0.4334765549185181,0.4360516935470607
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,LogisticRegression,0.5110620345616463,0.507392248328665,0.5115843368552577,0.512067539638818,0.5126207360446629,0.5133748341652193,0.5141449561482927,0.5078282801179215,0.5131056388884484
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,KNN,0.4645749162728915,0.4620216902555157,0.4625080835645703,0.4639578517644424,0.4627465198942618,0.4623308518200785,0.462402800812151,0.4611877611220307,0.4633764340914297
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,RandomForest,0.4747082749558293,0.4773179667710356,0.4774477401231349,0.4784955974619854,0.4772507743411668,0.4762457973172534,0.4729347829323223,0.4697561040839859,0.4788352159746161
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,AdaBoost,0.0598667636023817,0.0574259134377859,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.5004,0.0661,1.0,207.0,53.8671,48.0,37.5371,0.9395,0.849,25.0,51.0,0.0738,0.0738,0.0517,0.0517,0.0688,0.0688,4.8736,0.0027,SVC,0.5074899900155768,0.5033781181483639,0.5045895444162074,0.5060131580925475,0.506434616260633,0.5054429544217655,0.5079196937310084,0.5042312427296273,0.5056844558833256
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,DecisionTree,0.4452905357644337,0.4415849297310418,0.4487844134565145,0.4477142080839318,0.443040953278025,0.4414061591939889,0.4421007665951548,0.4371998439961411,0.4432144782293274
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,LogisticRegression,0.5096589331961512,0.5072755405397026,0.5109937401880678,0.5121452821807365,0.5115507551584542,0.511722583038464,0.5084705932442354,0.5076029445937602,0.51341874021769
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,KNN,0.4588752805509971,0.45580058762924,0.4594727650252581,0.4577476976168624,0.4591345333063431,0.4587767336981055,0.4631805210630789,0.4614900269591437,0.4585848120635964
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,RandomForest,0.4802331308375994,0.4798379832921025,0.4754751815219152,0.4753779900165115,0.4810198158699043,0.4793592133640542,0.4738772068939447,0.4771957330019779,0.4806559860467185
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,AdaBoost,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.4475,0.061,1.0,207.0,53.6383,48.0,37.3599,0.9308,0.8302,25.0,51.0,0.0724,0.0724,0.0465,0.0465,0.0621,0.0621,4.8726,0.0026,SVC,0.5095746612468439,0.5037253806287414,0.5050695819401035,0.5081843374654124,0.5082202469138642,0.5074202641763091,0.5080798611161608,0.5042595460417885,0.5082385611664471
BachChoralHarmony,V2,5665.0,0.4039,0.0572,1.0,203.0,53.3595,47.0,37.5072,0.9255,0.7663,25.0,51.0,0.0586,0.0586,0.0374,0.0374,0.05,0.05,4.8736,0.0025,DecisionTree,0.4427418026085424,0.444735226337368,0.4437369167731039,0.4399648567042986,0.4436352836000354,0.4461173967729156,0.4396037943252183,0.4348368537029693,0.4433196844526937
