name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,DecisionTree,0.3171606190248426,0.3406933953128302,0.3440612679755792,0.3323093465630226
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,LogisticRegression,0.3981005079161457,0.4241392106742523,0.400933654488939,0.417058172244294
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,KNN,0.3524505005954169,0.3655801316981031,0.3526703044594946,0.3609317426369022
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,RandomForest,0.3579396826262979,0.3864599778458175,0.3842994717096406,0.3821299792025401
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,AdaBoost,0.0627925394252876,0.0688950492545554,0.0614848950926542,0.0639414461954502
BachChoralHarmony,V1,5665.0,0.4962,0.034,4.4091,0.021,0.9813,4.0288,0.0044,8.0,0.0,,,8.0,8.0,SVC,0.382462953682588,0.4217007309054828,0.3965953704218854,0.4109799640915239
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,DecisionTree,0.3248137666476094,0.3486877279590303,0.3425468503136715,0.3481329419169146
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4128563558182076,0.426315754275916,0.3987391743747048,0.4262335110966749
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,KNN,0.3615026765460828,0.3748437886156907,0.3449972879108964,0.3736878273488813
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,RandomForest,0.3705926623983738,0.3927946958694179,0.377582578056156,0.3949439992218363
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,AdaBoost,0.0627925394252876,0.0660306029820122,0.0627925394252876,0.0660306029820122
BachChoralHarmony,V1,5665.0,0.453,0.0345,4.4583,0.0194,0.9818,4.0432,0.005,8.0,0.0,,,8.0,8.0,SVC,0.405011847467822,0.4184024479164696,0.3914399145324573,0.4183100528197069
BachChoralHarmony,V1,5665.0,0.4053,0.0353,5.95,0.0178,0.9815,4.0333,0.0024,8.0,0.0,,,8.0,8.0,DecisionTree,0.3326669139079119,0.3434576197265505,0.3463460049393323,0.3518289946412844
