name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V2,5665,0.5103,0.0674,1.0,205.0,53.8951,49.0,37.544,0.8861,0.6575,26.0,52.0,0.0739,0.0739,0.0423,0.0423,0.0564,0.0564,4.8715,0.0027,DecisionTree,0.4397278537639872,0.4424211316775563,0.4439327463700427,0.4326720728865594,0.4371379564710927,0.435568264948038,0.4361911419893104,0.4338345676272419,0.4438351509605405,0.4638865438043549,0.4634522592104134,0.4613984797394744,0.4504133307674088,0.4462143022868277,0.4574961097414091,0.4454283971438599,0.4527143117131891,0.4571016933945484
BachChoralHarmony,V2,5665,0.5103,0.0674,1.0,205.0,53.8951,49.0,37.544,0.8861,0.6575,26.0,52.0,0.0739,0.0739,0.0423,0.0423,0.0564,0.0564,4.8715,0.0027,LogisticRegression,0.5078907121038423,0.5134812673683748,0.5125391039111502,0.5099092506261473,0.5101696883285396,0.513173637770919,0.513513807231046,0.5109417508938162,0.5134812673683748,0.5122566024335297,0.5078287040845852,0.5140345573541836,0.5108575379965755,0.5113529757535714,0.5112617942351168,0.512070780734402,0.5118833309107628,0.5119660413805934
BachChoralHarmony,V2,5665,0.5103,0.0674,1.0,205.0,53.8951,49.0,37.544,0.8861,0.6575,26.0,52.0,0.0739,0.0739,0.0423,0.0423,0.0564,0.0564,4.8715,0.0027,KNN,0.4625399636607659,0.4648300641929786,0.4646655787609499,0.4667374378090474,0.4652111449799458,0.4634693818145426,0.4625536065809159,0.4639647135776866,0.4648588847305875,0.4657295339301346,0.470579641364482,0.4712922300940981,0.4680549994193549,0.4679399635343327,0.4673986135830223,0.464275939115379,0.4639106061500179,0.4681345554324788
BachChoralHarmony,V2,5665,0.5103,0.0674,1.0,205.0,53.8951,49.0,37.544,0.8861,0.6575,26.0,52.0,0.0739,0.0739,0.0423,0.0423,0.0564,0.0564,4.8715,0.0027,RandomForest,0.4763607678980991,0.4751107130504865,0.4796990611861248,0.475737018806644,0.4735382873541921,0.4783644836303534,0.4777051798749261,0.4766528406911436,0.479350438422753,0.4990859857453447,0.4982683368707986,0.5052032164981733,0.5016132312000997,0.4930902799340543,0.4988677246104172,0.4944301715029817,0.4846188171612795,0.4967949006753921
BachChoralHarmony,V2,5665,0.5103,0.0674,1.0,205.0,53.8951,49.0,37.544,0.8861,0.6575,26.0,52.0,0.0739,0.0739,0.0423,0.0423,0.0564,0.0564,4.8715,0.0027,AdaBoost,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665,0.4997,0.0674,1.0,207.0,54.0109,48.0,38.058,0.9285,0.7473,26.0,52.0,0.0596,0.0596,0.0385,0.0385,0.0513,0.0513,4.8863,0.0026,SVC,0.502205414690511,0.5066638442662874,0.5064298609648816,0.5068171806456574,0.506080285108326,0.5067880162305632,0.5062967460204474,0.5061666672695644,0.5066638442662874,0.5044577205091456,0.506684617806034,0.5074778496641763,0.5036984814061098,0.5034378181302699,0.5030200774187223,0.5039972391945098,0.5024061981377974,0.5035044567721285
BachChoralHarmony,V2,5665,0.4447,0.0591,1.0,204.0,53.4727,48.0,37.0606,0.8681,0.5772,25.0,51.0,0.0808,0.0808,0.0532,0.0532,0.0709,0.0709,4.8699,0.0027,DecisionTree,0.4373471915254401,0.4397965532422231,0.443485721385182,0.4372719163319979,0.4340671661638105,0.4338668576173748,0.4330373170700145,0.438950504312617,0.4397509314626688,0.4615631815594976,0.4640830614361738,0.4616053354957519,0.4412018902551656,0.4504612192743643,0.4475043802839143,0.4531434186938409,0.4479146799247387,0.4526531043158016
BachChoralHarmony,V2,5665,0.4447,0.0591,1.0,204.0,53.4727,48.0,37.0606,0.8681,0.5772,25.0,51.0,0.0808,0.0808,0.0532,0.0532,0.0709,0.0709,4.8699,0.0027,LogisticRegression,0.5066714382830582,0.5102827776783259,0.5108208048735885,0.5077472139348039,0.5089221573735078,0.5109936828098163,0.5105065606637839,0.5102080671024358,0.5102827776783259,0.5086280598214648,0.5110782500267479,0.5103944528912505,0.5100583123610078,0.5094916572325917,0.5104152342851149,0.5103641644285166,0.5108806042655265,0.5086741859113687
BachChoralHarmony,V2,5665,0.4447,0.0591,1.0,204.0,53.4727,48.0,37.0606,0.8681,0.5772,25.0,51.0,0.0808,0.0808,0.0532,0.0532,0.0709,0.0709,4.8699,0.0027,KNN,0.463892442143658,0.469241378206096,0.4679552809728205,0.4630883177653383,0.4679162732302117,0.4647589997334425,0.4635432074959196,0.4653501174005561,0.4691036592774226,0.4684265048872095,0.4689247174476295,0.471266152810328,0.4675638277036827,0.4687554082346439,0.4688926086446627,0.4686633697873674,0.4664411042939686,0.4699535155105971
BachChoralHarmony,V2,5665,0.4447,0.0591,1.0,204.0,53.4727,48.0,37.0606,0.8681,0.5772,25.0,51.0,0.0808,0.0808,0.0532,0.0532,0.0709,0.0709,4.8699,0.0027,RandomForest,0.4787678383927319,0.4740005740963426,0.4769191312484231,0.4813801704056508,0.4766999836708233,0.4757838081141866,0.4747971230206413,0.4781060953433611,0.4795248092283372,0.493247110571232,0.4946908984077878,0.5023764542695599,0.501071709103562,0.4967731549251346,0.4968639506886262,0.4894179100328343,0.4892437286110667,0.5017481761375197
BachChoralHarmony,V2,5665,0.4447,0.0591,1.0,204.0,53.4727,48.0,37.0606,0.8681,0.5772,25.0,51.0,0.0808,0.0808,0.0532,0.0532,0.0709,0.0709,4.8699,0.0027,AdaBoost,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665,0.4639,0.0619,1.0,205.0,53.2502,48.0,37.3666,0.8786,0.6986,26.0,53.0,0.095,0.095,0.0674,0.0674,0.0896,0.0896,4.8668,0.0027,SVC,0.506604251215141,0.5096556741693259,0.5088307915765029,0.5062650034781917,0.5078329193397326,0.5116147906636556,0.5104665342034975,0.5080501850561422,0.5096556741693259,0.5055937668642281,0.5076803915326763,0.5065172310240169,0.5054089885966428,0.5052466778236583,0.5051513907567714,0.5035504474982452,0.5053931604833888,0.5069966778752307
BachChoralHarmony,V2,5665,0.3945,0.0571,1.0,207.0,52.9936,48.0,36.9677,0.955,1.0125,25.0,50.0,0.0739,0.0739,0.0506,0.0506,0.0675,0.0675,4.8611,0.0025,DecisionTree,0.4412672068277256,0.441290742366383,0.4405926038019251,0.4380703061290639,0.4392062507416538,0.4339714707431962,0.4375594754458006,0.4348417369340041,0.4420866760268096,0.4630307058959008,0.4579464522539481,0.452043077689388,0.4530817577362883,0.4488049019372973,0.4528185952587272,0.4485020511913825,0.4495887717333311,0.4521523728962441
BachChoralHarmony,V2,5665,0.3945,0.0571,1.0,207.0,52.9936,48.0,36.9677,0.955,1.0125,25.0,50.0,0.0739,0.0739,0.0506,0.0506,0.0675,0.0675,4.8611,0.0025,LogisticRegression,0.505881488792514,0.5104550249875879,0.5099547794260876,0.5065264425390213,0.5084265891514931,0.5089687855760888,0.5092230928293964,0.5073615901612533,0.5104550249875879,0.516155045039969,0.5115676194308412,0.5139454421537435,0.5147127194331886,0.5139287157914185,0.5139868640097363,0.5159741355299163,0.5134825542733559,0.5149812446230838
BachChoralHarmony,V2,5665,0.3945,0.0571,1.0,207.0,52.9936,48.0,36.9677,0.955,1.0125,25.0,50.0,0.0739,0.0739,0.0506,0.0506,0.0675,0.0675,4.8611,0.0025,KNN,0.457751508981739,0.4641242930600036,0.4618856569371046,0.4649913710666591,0.4639100583900379,0.4623044890850534,0.4630267143009328,0.4611978435980913,0.4638612749539132,0.4685882711054657,0.4696104940456085,0.4664488113431574,0.4699435464211082,0.4683885420459189,0.4693287805771327,0.4678836319285719,0.466491508684407,0.4685953042811472
