name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665,0.5013,0.0382,7.2,0.0212,0.9814,4.0307,0.003,8.0,0.0,,,8.0,8.0,DecisionTree,0.3473776691864824,0.3394036365507672,0.3435816906148236,0.3297956037751751,0.3248547008124978,0.3387419413540142,0.3090306665953499,0.3416714305324007,0.4296035775285699,0.4331456835009237,0.4359590635265705,0.4298601721993517
BachChoralHarmony,V1,5665,0.5013,0.0382,7.2,0.0212,0.9814,4.0307,0.003,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4292466036531201,0.4292135920936675,0.3926557442932798,0.4046732203466478,0.4032914797352576,0.4134508042121967,0.3954720754468093,0.4292135920936675,0.4955820786607912,0.4958070860205195,0.4966154937190346,0.4967063082606337
BachChoralHarmony,V1,5665,0.5013,0.0382,7.2,0.0212,0.9814,4.0307,0.003,8.0,0.0,,,8.0,8.0,KNN,0.3679966189320891,0.368836922214529,0.3203421357464484,0.3548908828343178,0.3506003322325888,0.3608639945228846,0.3514703093794801,0.368836922214529,0.4566835055020161,0.4596362211028735,0.4579534204777772,0.4562632062563699
BachChoralHarmony,V1,5665,0.5013,0.0382,7.2,0.0212,0.9814,4.0307,0.003,8.0,0.0,,,8.0,8.0,RandomForest,0.4071402198684836,0.4103751309782685,0.3777041696192731,0.3646771055345366,0.3637196875379738,0.3852779959798564,0.3483860422588454,0.412130361121222,0.4704473906137051,0.4733642380354653,0.4698885796930295,0.4749818312710658
BachChoralHarmony,V1,5665,0.5013,0.0382,7.2,0.0212,0.9814,4.0307,0.003,8.0,0.0,,,8.0,8.0,AdaBoost,0.0599185343194349,0.0605611761158385,0.0599455645713712,0.0599185343194349,0.0599504655059014,0.0599185343194349,0.0627925394252876,0.0605611761158385,0.0619545582019639,0.0619545582019639,0.0619545582019639,0.0619545582019639
BachChoralHarmony,V1,5665,0.5034,0.0398,8.0,0.0213,0.9813,4.0257,0.0037,8.0,0.0,,,8.0,8.0,SVC,0.4117621408086747,0.4112085791237758,0.3648966862163978,0.3931548411770016,0.391256423734635,0.4079920667216194,0.3832814619062522,0.4112085791237758,0.49777243236026,0.5001663669646882,0.4997614994184968,0.4998049021685862
BachChoralHarmony,V1,5665,0.4492,0.0372,5.2727,0.0192,0.9813,4.0288,0.0017,8.0,0.0,,,8.0,8.0,DecisionTree,0.3584466204845062,0.3578459999185972,0.3564815986900239,0.3403899526284731,0.3409170840643674,0.3527894507151035,0.326475920057222,0.3570253073781636,0.4277576678563329,0.4358765684405887,0.4290932898400664,0.4346873215153252
BachChoralHarmony,V1,5665,0.4492,0.0372,5.2727,0.0192,0.9813,4.0288,0.0017,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4363048171124434,0.4362434369050331,0.4042388338027165,0.4184671567232707,0.4155249945038111,0.4326043508331889,0.4064838074021206,0.4362434369050331,0.4962851038206476,0.4970083663888446,0.4984604307391391,0.4964240991751384
BachChoralHarmony,V1,5665,0.4492,0.0372,5.2727,0.0192,0.9813,4.0288,0.0017,8.0,0.0,,,8.0,8.0,KNN,0.3704051250297805,0.3732560126073283,0.3408376271865257,0.3536987031703531,0.3529890800818313,0.3694008722736266,0.3494332914729421,0.3732560126073283,0.45468053629263,0.4581836813846828,0.4575029713447696,0.4571426615549725
BachChoralHarmony,V1,5665,0.4492,0.0372,5.2727,0.0192,0.9813,4.0288,0.0017,8.0,0.0,,,8.0,8.0,RandomForest,0.4141503577921774,0.4119567986646558,0.4001304884169261,0.3752456352647528,0.373581584360224,0.3935376790205905,0.3658495727648345,0.4107014902198116,0.4717653151905664,0.4738343534204248,0.466545896071147,0.4711523976868242
