name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V2,5665.0,0.4913,0.0649,1.0,207.0,53.1988,48.0,37.4715,0.9207,0.7451,25.0,50.0,0.0928,0.0928,0.0678,0.0678,0.0902,0.0902,4.8688,0.0027,MLP,0.4988686839558883,0.4991255524704163,0.5002473557739393,0.5001557005465154,0.5026185344367807,0.5015359447110684,0.0411883009545012,0.0383072170227922,0.4991255524704163,0.4995970735582423,0.5012798196431523,0.5024237910186994,0.498990768283465,0.5009962894420765,0.5006443521021704,0.4994078802713086,0.4997042875870379,0.5009275982856602
BachChoralHarmony,V2,5665.0,0.4913,0.0649,1.0,207.0,53.1988,48.0,37.4715,0.9207,0.7451,25.0,50.0,0.0928,0.0928,0.0678,0.0678,0.0902,0.0902,4.8688,0.0027,TabNet,0.4731060104531448,0.4757943160405752,0.4758806996312651,0.4756740693451117,0.4768677374478552,0.4770884217830044,0.040889645247623,0.0412659464889733,0.4759051927808198,0.4754433486107841,0.4770412652947453,0.475181464501728,0.4752211124507252,0.4781395585442199,0.4759670264073071,0.4760485536769892,0.477758464583862,0.4779591696044289
BachChoralHarmony,V2,5665.0,0.4457,0.0602,1.0,207.0,52.9382,47.0,37.3209,0.9173,0.7366,26.0,53.0,0.0877,0.0877,0.0582,0.0582,0.0776,0.0776,4.8666,0.0026,MLP,0.4992927182252798,0.5011032116894579,0.5018928924716842,0.5003051859401478,0.4988564977177305,0.500850607458353,0.0436357760403736,0.048229384128587,0.5011032116894579,0.5017424028958788,0.5004198490762181,0.5001601154030977,0.499510361766756,0.5005779865883615,0.5011287800583387,0.5033187629664758,0.5004157477807141,0.500301634656925
BachChoralHarmony,V2,5665.0,0.4457,0.0602,1.0,207.0,52.9382,47.0,37.3209,0.9173,0.7366,26.0,53.0,0.0877,0.0877,0.0582,0.0582,0.0776,0.0776,4.8666,0.0026,TabNet,0.4751424738578623,0.4738275539792186,0.4793494875916002,0.4735344012679737,0.4738395477946033,0.475489208573192,0.0435820857775897,0.0431240598699133,0.4738770467103902,0.4774276327688638,0.4746041526904403,0.4769981428691203,0.4751687965677477,0.476036875760534,0.4763086742735088,0.4779606899635377,0.4785725995466335,0.4748367190643833
BachChoralHarmony,V2,5665.0,0.403,0.0577,1.0,207.0,53.555,48.0,37.7922,0.9466,0.8634,26.0,51.0,0.0884,0.0884,0.0608,0.0608,0.0808,0.0808,4.8801,0.0025,MLP,0.5001200625820219,0.5026014183074565,0.5016204346825589,0.5002914070208827,0.4988032707627272,0.4993373113633177,0.0413245125293825,0.0407021975344701,0.5024873371317081,0.502415740684217,0.4998572713509064,0.4985032801602886,0.4991835104332475,0.4994052666976181,0.499038309476331,0.499897265968297,0.5006973001422677,0.4992098753477836
BachChoralHarmony,V2,5665.0,0.403,0.0577,1.0,207.0,53.555,48.0,37.7922,0.9466,0.8634,26.0,51.0,0.0884,0.0884,0.0608,0.0608,0.0808,0.0808,4.8801,0.0025,TabNet,0.4755889975304342,0.4743672747165507,0.473263284487794,0.4765663917736184,0.4710455454873326,0.4751916631386861,0.0419003906369565,0.0428570287553299,0.474466898247083,0.4740986868490773,0.4777146376350794,0.4763708606699174,0.4776631115285474,0.4771858022320081,0.4732152158614415,0.4764630079024504,0.4753537643229527,0.4741446318886779
BachChoralHarmony,V2,5665.0,0.3416,0.0517,1.0,205.0,53.6764,49.0,37.3604,0.8953,0.7243,26.0,51.75,0.0743,0.0743,0.05,0.05,0.0668,0.0668,4.8785,0.0026,MLP,0.499480525584954,0.500159558811224,0.4995381437537498,0.5008783463389541,0.4983271619177388,0.4990040417237028,0.0392409966790107,0.0396662085528494,0.500159558811224,0.5004321941079207,0.4987542012639209,0.4992429558974054,0.4994612506028385,0.4989299071663783,0.4989533815142503,0.4976996992523203,0.4966271266408074,0.4988680585267105
BachChoralHarmony,V2,5665.0,0.3416,0.0517,1.0,205.0,53.6764,49.0,37.3604,0.8953,0.7243,26.0,51.75,0.0743,0.0743,0.05,0.05,0.0668,0.0668,4.8785,0.0026,TabNet,0.4745536963015987,0.4717908964992051,0.4753096472834406,0.4739688926209695,0.4761341725141614,0.4727343160418227,0.039492972968252,0.0396931347043921,0.4717908964992051,0.4748998027002342,0.4733112273248187,0.4756212287423725,0.4724524338262313,0.4728909826246342,0.4734909713332174,0.4761444770010061,0.4761626364520705,0.4741634443494162
BachChoralHarmony,V2,5665.0,0.2937,0.0492,1.0,206.0,53.2474,48.0,37.244,0.9339,0.8356,25.0,51.0,0.0891,0.0891,0.0629,0.0629,0.0835,0.0835,4.8734,0.0023,MLP,0.5010917642437159,0.5038761987819539,0.5032554668279604,0.5012889552458403,0.5032115250583555,0.5026171472527596,0.0408375035356191,0.0419449026314066,0.5038761987819539,0.5039282080807466,0.5029329807461052,0.5029704998721821,0.5022606964287343,0.5017950883647073,0.5029866780211358,0.4997710043735627,0.4980869439386697,0.5026647922868622
BachChoralHarmony,V2,5665.0,0.2937,0.0492,1.0,206.0,53.2474,48.0,37.244,0.9339,0.8356,25.0,51.0,0.0891,0.0891,0.0629,0.0629,0.0835,0.0835,4.8734,0.0023,TabNet,0.4746210355004069,0.4753835714593699,0.4760396545858678,0.4763387623023639,0.4748189069680541,0.4743948354215904,0.0412312047883922,0.0422398784424394,0.4748782708810917,0.4763946316325969,0.4764667945322268,0.4761715435157554,0.4754918254521766,0.476365800797164,0.4758351400437348,0.4765152158832488,0.4749352128053782,0.4725595042019427
