ml_method,dataset,best_parameter
FTTransformer,abalone,0.0005
FTTransformer,BachChoralHarmony,0.0005
FTTransformer,bank,0.001
FTTransformer,cancer,0.005
FTTransformer,car,0.001
FTTransformer,default of credit card clients,0.0001
FTTransformer,drug,0.0005
FTTransformer,electricity-normalized,0.0005
FTTransformer,fried,0.0005
FTTransformer,frogs,0.0005
FTTransformer,german,0.005
FTTransformer,house,0.0001
FTTransformer,iris,0.0001
FTTransformer,letter,0.005
FTTransformer,mushrooms,0.0001
FTTransformer,mv,0.0005
FTTransformer,numerai28.6,0.0001
FTTransformer,nursery,0.0001
FTTransformer,phoneme,0.0001
FTTransformer,ringnorm,0.0001
FTTransformer,Run_or_walk_information,0.0005
FTTransformer,shuttle,0.0005
FTTransformer,soybean,0.001
FTTransformer,stars,0.0005
FTTransformer,visualizing_soil,0.0005
FTTransformer,wall-robot-navigation,0.0001
